gesture,rep,t_ms,gx,gy,gz
left,7,571,-142.375,27.000,-211.562
left,7,581,-138.000,35.063,-207.750
left,7,591,-126.813,53.250,-192.750
left,7,601,-109.938,64.875,-163.750
left,7,611,-95.000,53.750,-137.062
left,7,621,-78.500,30.000,-108.750
left,7,631,-58.875,10.125,-75.625
left,7,641,-46.750,14.250,-56.875
left,7,651,-39.688,28.500,-42.375
left,7,661,-37.813,33.188,-31.437
left,7,671,-39.063,33.313,-18.812
left,7,681,-40.250,34.125,-3.313
left,7,691,-38.938,32.375,7.062
left,7,701,-34.188,23.500,15.438
left,7,711,-23.062,3.250,22.937
left,7,721,-10.250,-13.313,27.625
left,7,731,4.312,-26.437,33.313
left,7,741,20.687,-39.813,44.000
left,7,751,30.437,-48.813,55.000
left,7,761,37.688,-54.813,67.375
left,7,771,44.563,-56.063,84.438
left,7,781,49.438,-52.875,98.500
left,7,791,56.125,-48.000,115.063
left,7,801,61.563,-45.500,127.750
left,7,811,66.188,-44.438,139.812
left,7,821,70.438,-43.813,151.125
left,7,831,74.375,-43.125,155.000
left,7,841,80.625,-42.563,156.937
left,7,851,90.813,-42.750,164.875
left,7,861,97.750,-43.813,177.187
left,7,871,100.688,-45.375,190.687
left,7,881,96.438,-45.500,205.062
left,7,891,88.188,-41.938,213.812
left,7,901,78.750,-32.938,221.000
left,7,911,67.438,-24.500,223.875
left,7,921,58.813,-18.312,224.937
left,7,931,49.250,-17.000,226.062
left,7,941,43.250,-21.812,227.562
left,7,951,38.500,-31.750,227.625
left,7,961,34.000,-50.063,229.500
left,7,971,30.500,-65.563,238.250
left,7,981,26.062,-76.313,251.812
left,7,991,17.812,-80.563,263.500
left,8,1,6.062,-13.313,7.750
left,8,11,2.813,-10.000,8.188
left,8,21,-0.250,-5.625,6.812
left,8,31,-1.250,-3.750,5.187
left,8,41,-0.375,-4.062,3.625
left,8,51,2.938,-6.937,2.250
left,8,61,6.000,-10.125,1.500
left,8,71,7.687,-13.313,-0.187
left,8,81,7.062,-13.688,-3.125
left,8,91,5.500,-11.938,-6.625
